"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),26.118589,Spleen,"18",http://www.ncbi.nlm.nih.gov/pubmed/18664241,18664241,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",45,2008,Amphotericin B lipid emulsion (ABLE),Safety of a pre-formulated amphotericin B lipid emulsion for the treatment of Indian Kala-azar.,India Subcontinent,85.400719,Published,"Sundar S, Chakravarty J, Agarwal D, Shah A, Agrawal N, Rai M.",Amphotericin B; Amphotericin B lipid emulsion,Dose finding,0,Parasitological,No,vl,
India (IND),25.613897,,"189",,,CTRI/2009/091/000058,"Balaji Uthan Sansthan, Patna, India",,,Liposomal Amphotericin B (L-AmB),"A Prospective, Multicentric, Randomized, Two Arm, Open Label Phase III Study To Assess Efficacy And Safety Of Infusion Of Amphomul (Amphotericin B Emulsion) As Compared To AmBisome In Patients Of Visceral Leishmaniasis (Kala Azar)",India Subcontinent,85.139591,Completed,C. P. Thakur,Liposomal Amphotericin B,Comparative,1,Mixed,Unspecified,vl,
Bangladesh (BGD),24.760615,Serological,"176",http://www.ncbi.nlm.nih.gov/pubmed/25104637,25104637,CTRN12612000367842,"Muktagacha upazila hospital, Bangladesh",300,2014,Liposomal Amphotericin B (L-AmB),Efficacy and safety of single-dose liposomal amphotericin B for visceral leishmaniasis in a rural public hospital in Bangladesh: a feasibility study.,India Subcontinent,90.269615,Published,"Mondal D, Alvar J, Hasnain MG, Hossain MS, Ghosh D, Huda MM, Nabi SG, Sundar S, Matlashewski G, Arana B.",Liposomal Amphotericin B,Single Group,0,Serological,Unspecified,vl,
India (IND),26.118589,Spleen,"19",http://www.ncbi.nlm.nih.gov/pubmed/11049800,11049800,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",54,2000,Miltefosine,Short-course of oral miltefosine for treatment of visceral leishmaniasis.,India Subcontinent,85.400719,Published,"Sundar S, Makharia A, More DK, Agrawal G, Voss A, Fischer C, Bachmann P, Murray HW.",Miltefosine,Dose finding,0,Parasitological,No,vl,
Bangladesh (BGD),24.742748,,"185",,,ACTRN12609001029280,"Mymensingh District, Bangladesh",35,,Liposomal Amphotericin B (L-AmB),Liposomal amphotericin B for the treatment of Bangladeshi patients with visceral leishmaniasis,India Subcontinent,90.408589,Completed,Mahmudur Rahman,Liposomal Amphotericin B,Single Group,0,Mixed,Unspecified,vl,
Sudan (SDN),14.024307,,"264",,,NCT03399955,"Prof Elhassan Centre for Tropical Medicine, Gedaref, Sudan",110,,Miltefosine,Short Course Regimens for Treatment of PKDL (Sudan)  ,Eastern Africa,35.368568,Not Published,"Brima Musa, Severine Monnerat, Gina M Ouattara","",RCT,0,Mixed,Unspecified,pkdl,
Sudan (SDN),14.024307,,"264",,,NCT03399955,"Prof Elhassan Centre for Tropical Medicine, Gedaref, Sudan",110,,Liposomal Amphotericin B (L-AmB),Short Course Regimens for Treatment of PKDL (Sudan)  ,Eastern Africa,35.368568,Not Published,"Brima Musa, Severine Monnerat, Gina M Ouattara","",RCT,0,Mixed,Unspecified,pkdl,
Sudan (SDN),14.024307,,"264",,,NCT03399955,"Prof Elhassan Centre for Tropical Medicine, Gedaref, Sudan",110,,Paromomycin,Short Course Regimens for Treatment of PKDL (Sudan)  ,Eastern Africa,35.368568,Not Published,"Brima Musa, Severine Monnerat, Gina M Ouattara","",RCT,0,Mixed,Unspecified,pkdl,
Ethiopia (ETH),12.589413,Spleen/bone/lymph,"64",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Gondar University Hospital, Amhara State, Ethiopia",270,2010,Sodium stibogluconate,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,37.44205,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Kenya"
Ethiopia (ETH),12.589413,Spleen/bone/lymph,"64",http://www.ncbi.nlm.nih.gov/pubmed/21049060,21049060,NCT00255568,"Gondar University Hospital, Amhara State, Ethiopia",270,2010,Paromomycin,"Geographical variation in the response of visceral leishmaniasis to paromomycin in East Africa: a multicentre, open-label, randomized trial.",Eastern Africa,37.44205,Published,"Hailu A, Musa A, Wasunna M, Balasegaram M, Yifru S, Mengistu G, Hurissa Z, Hailu W, Weldegebreal T, Tesfaye S, Makonnen E, Khalil E, Ahmed O, Fadlalla A, El-Hassan A, Raheem M, Mueller M, Koummuki Y, Rashid J, Mbui J, Mucee G, Njoroge S, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Sudan, Kenya"
India (IND),22.311946,Spleen/bone/serological,"127",http://www.ncbi.nlm.nih.gov/pubmed/23087514,23087513,-9,"Canning Sub Divisional Hospital,South 24 Parganas district, West Bengal",71,2012,Miltefosine,"Efficacy of oral miltefosine in visceral leishmaniasis in rural West Bengal, India.",India Subcontinent,88.641284,Published,"Patra P, Guha SK, Maji AK, Saha P, Ganguly S, Chakraborty A, Kundu PK, Sarker S, Ray K.",Miltefosine,Single Group,0,Mixed,No,vl,
India (IND),26.118589,Spleen,"165",http://www.ncbi.nlm.nih.gov/pubmed/9675482,9675482,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",28,1998,Atovaquone,Atovaquone alone or with fluconazole as oral therapy for Indian kala-azar.,India Subcontinent,85.400719,Published,"Sundar S, Kumar P, Makharia M, Goyal A, Rogers M, Gibbs D, Murray H.",Atovaquone ; Fluconazole,Comparative,0,Parasitological,Unspecified,vl,
India (IND),26.118589,Spleen,"165",http://www.ncbi.nlm.nih.gov/pubmed/9675482,9675482,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",28,1998,Fluconazole,Atovaquone alone or with fluconazole as oral therapy for Indian kala-azar.,India Subcontinent,85.400719,Published,"Sundar S, Kumar P, Makharia M, Goyal A, Rogers M, Gibbs D, Murray H.",Atovaquone ; Fluconazole,Comparative,0,Parasitological,Unspecified,vl,
India (IND),22.574963,,"238",,,CTRI/2017/03/007993,"School of Tropical Medicine, Calcutta Medical College, Kolkata, India",48,,Liposomal Amphotericin B (L-AmB),A comparative study to monitor the safety of Amphotericin 50mg per vial A and Ambisome (amphotericin b) 50 mg per vial B in 48 patients,India Subcontinent,88.357584,Unknown,Kirki Patel,"",Comparative,1,Unspecified,Yes,vl,
India (IND),26.118589,Serological,"179",,,NCT01566552,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",1300,,Liposomal Amphotericin B (L-AmB),Single Dose Liposomal Amphotericin B for Visceral Leishmaniasis,India Subcontinent,85.400719,Unknown,Shyam Sundar,Liposomal Amphotericin B,Single Group,0,Serological,Unspecified,vl,
Sudan (SDN),13.845118,Spleen/lymph/serological,"119",http://www.ncbi.nlm.nih.gov/pubmed/10886793,10886792,-9,"Kassab Hospital, Ministry of Health, Gedaref State",516,2000,Sodium stibogluconate,A randomized comparison of branded sodium stibogluconate and generic sodium stibogluconate for the treatment of visceral leishmaniasis under field conditions in Sudan.,Eastern Africa,35.422757,Published,"Veeken H, Ritmeijer K, Seaman J, Davidson R.",Sodium stibogluconate,Comparative,0,Mixed,Unspecified,vl,
India (IND),26.121473,,"263",,,CTRI/2017/04/008421,"Kala-Azar Medical Research Center, Muzaffarpur, India; Rajendra Memorial Research Institute of Medical Sciences, Patna, India",110,,Miltefosine,"An Open label, Randomized, Clinical Trial of Two Regimens to Assess the Safety and Efficacy for  Treatment of PKDL Patients in the Indian subcontinent",India Subcontinent,85.368752,Not Published,"Shyam Sundar, Krishna Pandey, Vishal Goyal","",RCT,0,Mixed,Unspecified,pkdl,Bangladesh (BGD)
India (IND),26.121473,,"263",,,CTRI/2017/04/008421,"Kala-Azar Medical Research Center, Muzaffarpur, India; Rajendra Memorial Research Institute of Medical Sciences, Patna, India",110,,Liposomal Amphotericin B (L-AmB),"An Open label, Randomized, Clinical Trial of Two Regimens to Assess the Safety and Efficacy for  Treatment of PKDL Patients in the Indian subcontinent",India Subcontinent,85.368752,Not Published,"Shyam Sundar, Krishna Pandey, Vishal Goyal","",RCT,0,Mixed,Unspecified,pkdl,Bangladesh (BGD)
India (IND),26.118589,Spleen/bone,"17",http://www.ncbi.nlm.nih.gov/pubmed/19407109,19407109,NCT00497601,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",60,2009,Amphotericin B lipid emulsion (ABLE),Safety and efficacy of high-dose infusions of a preformed amphotericin B fat emulsion for treatment of Indian visceral leishmaniasis.,India Subcontinent,85.400719,Published,"Sundar S, Singh A, Agarwal D, Rai M, Agrawal N, Chakravarty J.",Amphotericin B lipid emulsion,Dose finding,0,Parasitological,No,vl,
Kenya (KEN),-1.313005,Spleen,"26",http://www.ncbi.nlm.nih.gov/pubmed/6309993,6309993,-9,Kenya Medical Research institute,30,1983,Sodium stibogluconate,A comparison of three dosage regimens of sodium stibogluconate in the treatment of visceral leishmaniasis in Kenya.,Eastern Africa,36.803282,Published,"Chulay JD, Bhatt SM, Muigai R, Ho M, Gachihi G, Were JB, Chunge C, Bryceson AD.",Sodium stibogluconate,Dose finding,0,Parasitological,Unspecified,vl,
Sudan (SDN),13.845118,Spleen/bone/lymph,"193",https://www.ncbi.nlm.nih.gov/pubmed/27627655,27627655,NCT010667444,"Kassab Hospital, Ministry of Health, Gedaref State",183,2016,Sodium stibogluconate,Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.422757,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
Sudan (SDN),13.845118,Spleen/bone/lymph,"193",https://www.ncbi.nlm.nih.gov/pubmed/27627655,27627655,NCT010667444,"Kassab Hospital, Ministry of Health, Gedaref State",183,2016,Miltefosine,Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.422757,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
Sudan (SDN),13.845118,Spleen/bone/lymph,"193",https://www.ncbi.nlm.nih.gov/pubmed/27627655,27627655,NCT010667444,"Kassab Hospital, Ministry of Health, Gedaref State",183,2016,Liposomal Amphotericin B (L-AmB),Efficacy and Safety of AmBisome in Combination with Sodium Stibogluconate or Miltefosine and Miltefosine Monotherapy for African Visceral Leishmaniasis: Phase II Randomized Trial,Eastern Africa,35.422757,Published,"Monique Wasunna, Simon Njenga, Manica Balasegaram, Neal Alexander, Raymond Omollo, Tansy Edwards, Thomas P. C. Dorlo, Brima Musa, Mohammed Hassan Sharaf Ali, Mohammed Yasein Elamin, George Kirigi, Rashid Juma, Anke E. Kip, Gerard J. Schoone, Asrat Hailu, Joseph Olobo, Sally Ellis, Robert Kimutai, Susan Wells, Eltahir Awad Gasim Khalil, Nathalie Strub Wourgaft, Fabiana Alves, Ahmed Musa",Miltefosine; Sodium stibogluconate; Liposomal Amphotericin B,Comparative,1,Parasitological,No,vl,Kenya
India (IND),26.385046,Spleen/bone,"78",http://www.ncbi.nlm.nih.gov/pubmed/11280167,11280166,-9,"Jale Village, Darbhanga, Bihar",309,2001,Amphotericin B deoxycholate,"Observations on amphotericin B treatment of kala-azar given in a rural set up in Bihar, India.",India Subcontinent,85.72721,Published,"Thakur CP, Ahmed S.",Amphotericin B deoxycholate,Single Group,0,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen,"44",https://www.ncbi.nlm.nih.gov/pubmed/1659240,1659239,-1,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",312,1991,Sodium stibogluconate,Comparison of regimes of treatment of antimony-resistant kala-azar patients: a randomized study.,India Subcontinent,85.195326,Published,"Thakur CP, Kumar M, Pandey AK.",Sodium stibogluconate; Pentamidine,Dose finding,1,Parasitological,Unspecified,vl,
India (IND),25.599832,Spleen,"44",https://www.ncbi.nlm.nih.gov/pubmed/1659240,1659239,-1,"Rajendra Memorial Research Institute of Medical Sciences , Patna, Bihar",312,1991,Pentamidine isethionate,Comparison of regimes of treatment of antimony-resistant kala-azar patients: a randomized study.,India Subcontinent,85.195326,Published,"Thakur CP, Kumar M, Pandey AK.",Sodium stibogluconate; Pentamidine,Dose finding,1,Parasitological,Unspecified,vl,
India (IND),25.274455,Spleen/bone,"69",http://www.ncbi.nlm.nih.gov/pubmed/17582068,17582068, NCT00216347,"Institutes of Medical Sciences, Banaras Hindu University, Varanasi, India.",667,2007,Amphotericin B - formulation unknown,Injectable paromomycin for Visceral leishmaniasis in India.,India Subcontinent,82.997337,Published,"Sundar S, Jha TK, Thakur CP, Sinha PK, Bhattacharya SK.",Amphotericin B; Paromomycin,Comparative,1,Parasitological,No,vl,
India (IND),25.274455,Spleen/bone,"69",http://www.ncbi.nlm.nih.gov/pubmed/17582068,17582068, NCT00216347,"Institutes of Medical Sciences, Banaras Hindu University, Varanasi, India.",667,2007,Paromomycin,Injectable paromomycin for Visceral leishmaniasis in India.,India Subcontinent,82.997337,Published,"Sundar S, Jha TK, Thakur CP, Sinha PK, Bhattacharya SK.",Amphotericin B; Paromomycin,Comparative,1,Parasitological,No,vl,
India (IND),25.256922,Spleen,"249",,,,"Jawahar Lal Nehru Medical College and Hospital, Bhagalpur, Bihar",160,,Miltefosine,,India Subcontinent,86.994025,Published,,"",Single Group,0,Serological,No,vl,
Ethiopia (ETH),8.153206,,"230",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5315726/,,-9,Ethiopia - Site Unknown,3126,2017,Sodium stibogluconate,Safety and Effectiveness of Sodium Stibogluconate and Paromomycin Combination for the Treatment of Visceral Leishmaniasis in Eastern Africa: Results from a Pharmacovigilance Programme,Eastern Africa,38.984647,Published,"Robert Kimutai, Ahmed M. Musa, Simon Njoroge, Raymond Omollo, Fabiana Alves, Asrat Hailu, Eltahir A. G. Khalil, Ermias Diro, Peninah Soipei, Brima Musa, Khalid Salman, Koert Ritmeijer, Francois Chappuis, Juma Rashid, Rezika Mohammed, Asfaw Jameneh, Eyasu Makonnen, Joseph Olobo, Lawrence Okello, Patrick Sagaki, Nathalie Strub, Sally Ellis, Jorge Alvar, Manica Balasegaram, Emilie Alirol, and Monique Wasunna","",Single Group,1,Mixed,Yes,vl,"Sudan, Uganda,Kenya"
Ethiopia (ETH),8.153206,,"230",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5315726/,,-9,Ethiopia - Site Unknown,3126,2017,Paromomycin,Safety and Effectiveness of Sodium Stibogluconate and Paromomycin Combination for the Treatment of Visceral Leishmaniasis in Eastern Africa: Results from a Pharmacovigilance Programme,Eastern Africa,38.984647,Published,"Robert Kimutai, Ahmed M. Musa, Simon Njoroge, Raymond Omollo, Fabiana Alves, Asrat Hailu, Eltahir A. G. Khalil, Ermias Diro, Peninah Soipei, Brima Musa, Khalid Salman, Koert Ritmeijer, Francois Chappuis, Juma Rashid, Rezika Mohammed, Asfaw Jameneh, Eyasu Makonnen, Joseph Olobo, Lawrence Okello, Patrick Sagaki, Nathalie Strub, Sally Ellis, Jorge Alvar, Manica Balasegaram, Emilie Alirol, and Monique Wasunna","",Single Group,1,Mixed,Yes,vl,"Sudan, Uganda,Kenya"
Bangladesh (BGD),24.403416,Spleen/bone,"196",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558063, NCT01122772,"Bhaluka Hospital, Bhaluka,Mymensingh, Bangladesh",602,2017,Miltefosine,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.380768,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.403416,Spleen/bone,"196",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558063, NCT01122772,"Bhaluka Hospital, Bhaluka,Mymensingh, Bangladesh",602,2017,Liposomal Amphotericin B (L-AmB),"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.380768,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
Bangladesh (BGD),24.403416,Spleen/bone,"196",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466346/,28558063, NCT01122772,"Bhaluka Hospital, Bhaluka,Mymensingh, Bangladesh",602,2017,Paromomycin,"Safety and efficacy of short course combination regimens with AmBisome, miltefosine and paromomycin for the treatment of visceral leishmaniasis (VL) in Bangladesh",India Subcontinent,90.380768,Published,"Rahman R, Goyal V, Haque R, Jamil K, Faiz A, Samad R, Ellis S, Balasegaram M, Boer MD, Rijal S, Strub-Wourgaft N, Alves F, Alvar J, Sharma B.",Miltefosine; Paromomycin; Liposomal Amphotericin B,Comparative,1,Mixed,No,vl,
India (IND),26.118589,Spleen,"32",http://www.ncbi.nlm.nih.gov/pubmed/21129763,21129763,NCT00371996,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",135,2011,Miltefosine,Ambisome plus miltefosine for Indian patients with kala-azar.,India Subcontinent,85.400719,Published,"Sundar S, Sinha PK, Verma DK, Kumar N, Alam S, Pandey K, Kumari P, Ravidas V, Chakravarty J, Verma N, Berman J, Ghalib H, Arana B.",Miltefosine; Liposomal Amphotericin B,Single Group,0,Parasitological,No,vl,
